	V_cra Queen.x	V_cra Worker.x	V_vul Queen.x	V_vul Worker.x	A_caj Queen.x	A_caj Worker.x	P_can Queen.x	P_can Worker.x	A_pal Queen.x	A_pal Worker.x	M_cin Queen.x	M_cin Worker.x	M_bas Queen.x	M_bas Worker.x	P_qua Queen.x	P_qua Worker.x	B_mel Queen.x	B_mel Worker.x
OG0000289	316.2843544	398.794596	97.52860868	138.4416979	163.6835467	149.6437073	260.5629174	293.5531931	65.25151713	83.83991983	108.6272182	136.5796032	211.9917457	310.9358747	118.7058677	139.258106	292.8864403	72.78868197
OG0000306	233.3791116	269.5079845	345.5451617	552.2032242	1481.415988	1538.173003	692.4464894	949.6365055	749.8187093	867.7825063	471.0902639	862.8427152	636.3948011	1078.894264	768.3884399	917.9627943	1142.785722	804.7323041
OG0000310	154.5621748	183.5736464	389.0393006	742.7057629	362.9078015	279.4051982	207.8754051	295.4990644	152.7747594	149.4285552	186.5293966	360.6131829	171.8800208	200.6122653	205.3093442	256.6788719	505.5032011	162.1566958
OG0000312	184.5921891	211.7516731	402.6158034	628.9115829	293.7869086	260.369357	380.568595	403.6229525	267.9087575	245.6153123	290.6515605	241.3647459	262.3827906	214.8765667	196.8330705	220.026861	405.655551	367.8197127
OG0000313	389.1737582	490.1340774	431.0722075	171.9142217	138.8676361	156.6047637	112.3689917	127.3980487	345.8568227	463.1348252	271.7925316	160.6206473	100.4156705	87.82651089	185.2632777	222.1395023	43.85073857	239.3809335
OG0000314	747.2323434	2542.252144	245.2643681	1467.376864	1216.027035	1104.126936	461.1019726	1245.150565	1344.716345	3243.488141	176.7417994	433.7748963	324.8824549	4160.499458	1127.636012	1025.109356	1803.131093	330.2254932
OG0000319	346.3158272	371.8686591	415.8825793	461.8257911	288.7516589	280.6848973	194.8755766	190.7807392	226.9697475	227.2929482	138.6339021	131.1239544	250.2000482	272.8608303	137.4016893	133.4246784	224.7551026	262.1682679
OG0000323	774.6676035	1086.994458	68.62076701	140.4703024	941.0298576	1006.046234	426.4552136	513.4741331	758.7889349	792.5351322	77.96569164	244.8076792	469.9369468	601.0880185	483.2022798	604.4883095	1205.215955	628.4936807
OG0000329	105.6469001	138.5508076	100.2426081	76.29956494	81.94845238	95.11585447	166.7293755	179.822958	272.1553084	306.1266076	147.3921481	181.6921924	137.3918532	123.9592383	75.98931486	99.18941638	95.54049657	95.57601641
OG0000336	194.9464108	123.7670046	11.0310853	33.91012516	81.6118208	114.387363	447.9296654	354.3982922	258.2562893	238.2747354	366.405242	337.8511551	452.4285376	411.731809	251.3476265	273.9948777	627.6697377	538.5397829
OG0000337	740.6790939	942.395109	458.8769124	613.4923775	487.440148	473.278348	489.5476516	467.20519	375.9022479	387.7065215	1239.597335	554.4882531	236.0761226	241.8982319	298.5752971	284.8742756	709.8972143	1036.837033
OG0000342	104.3837988	175.0089119	144.1434934	239.2403529	226.3136139	236.2704686	208.6052215	215.1185482	138.3792937	135.2126494	146.5182946	160.6206473	170.0633083	174.7147044	143.3446689	158.8005417	166.0251064	180.7954985
OG0000354	1568.55885	2040.775508	1038.929444	1776.250152	1160.335845	1042.620288	724.2387694	669.1167281	1013.256474	1342.125281	893.3498568	1103.776165	265.5840645	665.0831434	739.6252109	977.6746175	861.4307068	733.5385284
OG0000357	34.27438468	57.38789269	69.76491789	90.9494699	153.0227567	74.92701705	77.61539892	110.0968655	95.42476993	129.3970515	95.05073224	147.480986	85.81763753	87.22035783	57.13184427	70.99199869	183.2498049	101.494036
OG0000364	263.1159581	325.9324488	271.682232	393.463409	406.4755132	389.9965428	567.9782482	510.1706504	255.0606	225.51596	306.1772435	300.1722282	508.0921045	453.5807661	240.6502631	269.9709908	333.2170598	380.8245607
OG0000365	55.51519765	66.87801232	199.038127	256.5386376	578.7431651	572.7781222	337.4914051	320.6587069	387.048515	327.4504663	510.9546286	425.3472697	300.8274475	329.3475392	258.0045561	246.2052863	322.2494806	703.3536695
