	V_cra Queen.x	V_cra Worker.x	V_vul Queen.x	V_vul Worker.x	A_caj Queen.x	A_caj Worker.x	P_can Queen.x	P_can Worker.x	A_pal Queen.x	A_pal Worker.x	M_cin Queen.x	M_cin Worker.x	M_bas Queen.x	M_bas Worker.x	P_qua Queen.x	P_qua Worker.x	B_mel Queen.x	B_mel Worker.x
OG0000147	119.053859716724	186.666161336762	133.507840186677	144.861131129124	106.266527602741	104.469061311122	109.450584021531	109.346545886111	93.935430059491	100.317446991844	74.9017290956846	90.4730497924973	139.994549023434	148.254152995264	69.4132097942859	78.8464325856053	141.74450720946
OG0000151	142.791704334056	121.17105413199	514.85431721074	589.924184792517	2346.20353596477	2213.55511993922	1358.71955605001	1805.95712235413	784.501599964227	775.897676132989	470.435421337809	874.733104812951	1776.29307412702	720.624028378172	921.478010668675	1023.7932352097	790.562368787217
OG0000157	295.444641691631	92.5818935495404	108.220550117421	289.420468235062	170.840523617801	133.344648407621	68.9039392217211	72.7019951286826	177.620872371106	212.430864900038	149.803458191369	218.870419087055	159.154642146521	265.731494482651	175.912197334804	221.938106537259	250.598023795731
OG0000178	655.574363010546	806.897438168436	70.996753997576	109.468922955531	383.330907215358	383.149518998731	312.778473266051	392.634604819983	178.835234318614	225.477189348195	127.462155895899	173.507479792466	211.460297825606	264.042523119414	128.130641031702	128.491489710802	216.532354935999
OG0000195	624.551078524485	681.940080593367	376.481077958277	531.041427286963	765.426708445774	889.712714414633	258.675091264886	242.282311229252	522.307924103217	614.837925330451	141.043022039827	158.637676348488	651.862730267957	809.767936929831	358.558979197303	379.125468398662	537.994801148217
OG0000201	15.9798356760359	41.3296411791208	40.5332065651499	81.4750580812337	86.2298370370345	101.113968962218	34.8814500659214	29.3553193086621	56.6320741272931	115.181145759488	28.0355857939725	64.691948672175	236.35583196313	193.48105283306	74.9607831886146	75.0199135073767	45.4169762188545
OG0000204	599.747036400839	697.05926478093	222.861922209921	293.645584559662	436.89088709598	471.633744556917	358.515352895901	362.817905247138	264.721986353925	301.280276074958	262.594073642473	280.0946473028	295.373114423069	329.347539196404	203.646894717306	203.409698368995	220.056389645626
OG0000205	422.393613722556	496.93113615228	262.434268323558	679.090875091942	164.257242772916	342.553915200056	534.897526836542	575.282940178215	199.766256282881	213.401746647603	263.691318270454	175.250015518607	480.958895250848	403.476492328884	74.7222716057417	97.6769343653093	387.252258646841
OG0000217	150.416985542007	188.701474636545	50.0094346624678	70.8395623459677	32.9329987386178	96.3803492433713	175.739454937962	149.949162584901	41.6182797187529	20.8392255301177	764.129043318256	53.7880871369094	56.9208605919456	18.0156945411967	92.5520029220949	113.889291512541	0
OG0000225	49.7524803527986	210.092120185447	359.962028435519	341.750180064444	1399.40589932324	1093.91721731803	295.401891417937	534.566708589369	359.998119567213	449.578020545098	540.95912246676	946.372887966452	464.177730478299	805.827003748944	304.280557552093	396.044724596661	1027.84345697468
OG0000227	527.311240564861	638.44030621397	260.283434389703	430.173908350426	851.983694476901	862.600831453208	568.761266972989	510.355202501021	682.242513960986	719.357141748948	457.277246238193	360.905671120197	872.073736317736	1169.21669908882	637.244312037183	762.01804413197	398.219837782026
OG0000235	1425.30186942972	1541.54909644128	1139.20033757661	2066.59877358339	1105.03344140724	1213.80855358039	509.36982642175	672.750097712266	618.180090536762	756.350805674506	139.731146726134	116.001322116139	805.698698389142	841.813353594984	525.834838519711	934.978720425312	1007.87392695346
OG0000239	175.025582431938	258.436400741749	37.7035192066171	74.7310590958455	89.3733121541816	66.6507847136549	408.885558633845	521.185527477393	571.866377045454	721.97416076901	140.002720246832	221.170665394108	882.351657803982	520.704241381482	184.806856862205	205.676407433493	218.490151996903
OG0000257	25.5303982907387	46.4387814676385	90.1460776853684	184.20409742442	784.47009880478	738.201406604222	214.911848091859	237.668508587419	847.678148577294	781.06709641953	497.369382285725	526.699393900218	511.448617161536	744.644954433101	430.708336817702	484.834064913432	615.272966736225
OG0000277	126.110307781772	177.558810088301	247.979216067414	341.328491506592	681.463207918538	688.883576321462	427.5926288847	415.185141957272	481.388236936886	557.227967124632	257.079379085078	299.297242282046	247.823916898117	205.866842830133	230.734203517724	256.97995848549	318.333886508893
OG0000283	126.018419350995	155.37626448031	106.60827323381	115.341011572116	275.943064582142	308.1414121048	201.78287513995	209.928596928729	187.579532160951	202.738201862773	94.8317213404428	128.647719377545	152.022052735737	140.184623148687	116.323921480852	127.181410415861	115.513942187467
OG0000289	316.284354373194	398.794595959867	97.5286086787418	138.441697897762	163.683546710812	149.643707311059	260.562917440978	293.553193086621	65.2515171304734	83.8399198284947	108.627218170084	136.57960319497	211.991745664057	310.935874702271	118.70586772044	139.258106022492	292.886440311261
OG0000306	233.379111614746	269.507984500871	345.545161684513	552.203224192742	1481.41598846547	1538.17300285866	692.446489413653	949.636505480596	749.818709287178	867.782506282412	471.090263940137	862.842715227894	636.394801075158	1078.89426385259	768.388439944849	917.962794271653	1142.78572242036
OG0000310	154.562174752604	183.573646441028	389.039300603633	742.705762881047	362.907801533441	279.405198179895	207.875405071882	295.499064350814	152.774759379011	149.428555157821	186.529396647671	360.61318290443	171.880020783526	200.612265255617	205.309344221848	256.678871852756	505.503201125451
OG0000312	184.592189058364	211.751673069497	402.615803386007	628.91158285686	293.786908629476	260.369356997894	380.568595043878	403.622952536839	267.908757486675	245.615312251951	290.651560526825	241.364745850532	262.382790577777	214.876566735579	196.833070461081	220.026860955555	405.65555101934
OG0000313	389.173758176975	490.134077406589	431.072207526135	171.914221725691	138.867636057497	156.604763717735	112.368991669207	127.398048722282	345.856822665634	463.134825246552	271.792531601593	160.620647302845	100.415670528297	87.8265108883339	185.263277698534	222.139502278219	43.8507385701311
OG0000314	747.232343437111	2542.25214384541	245.264368079889	1467.37686365292	1216.02703491013	1104.12693565167	461.101972561726	1245.15056469	1344.71634505556	3243.48814103647	176.741799357361	433.774896265398	324.88245492651	4160.49945810761	1127.63601238307	1025.10935637687	1803.13109309272
OG0000319	346.315827225474	371.868659100341	415.88257929337	461.825791143937	288.751658894318	280.684897300889	194.875576592474	190.780739239792	226.969747547618	227.292948223842	138.633902098153	131.123954356797	250.200048154768	272.86083027036	137.401689269617	133.424678385603	224.755102591796
OG0000323	774.667603483318	1086.9944579727	68.6207670112029	140.470302449975	941.02985763699	1006.04623371486	426.455213613605	513.4741330869	758.788934933702	792.535132236453	77.9656916396865	244.807679170033	469.936946790771	601.088018462484	483.202279776435	604.488309510936	1205.21595509847
OG0000329	105.646900102438	138.5508076412	100.242608099486	76.2995649418023	81.9484523752188	95.1158544683689	166.729375461162	179.822957965439	272.155308385121	306.12660759359	147.392148140657	181.692192406571	137.391853161969	123.959238252522	75.9893148649234	99.1894163799144	95.5404965721225
